City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Ixtapa,MX,20.7,-105.2,79.23,82,3,1.01,clear sky
105,Longyearbyen,SJ,78.2186,15.6401,31.84,59,20,16.11,few clouds
106,Cap Malheureux,MU,-19.9842,57.6142,75.47,75,84,3.0,broken clouds
107,Lavrentiya,RU,65.5833,-171.0,12.94,82,6,13.6,clear sky
108,Vila Velha,BR,-20.3297,-40.2925,75.15,88,90,12.66,overcast clouds
109,Belmonte,BR,-15.8631,-38.8828,81.1,61,38,8.59,scattered clouds
110,Mahibadhoo,MV,3.7833,72.9667,83.59,69,9,16.17,clear sky
111,Puerto Ayora,EC,-0.7393,-90.3518,73.36,80,89,9.13,overcast clouds
112,Port Elizabeth,ZA,-33.918,25.5701,84.09,83,0,17.27,clear sky
113,Woodward,US,36.4337,-99.3904,47.97,75,40,13.8,scattered clouds
114,Vao,NC,-22.6667,167.4833,70.74,65,25,9.73,scattered clouds
115,Kahului,US,20.8947,-156.47,70.84,76,1,0.0,clear sky
116,Kodiak,US,57.79,-152.4072,45.91,87,90,17.27,light rain
117,Kozhva,RU,65.1073,57.0459,20.05,93,100,6.55,overcast clouds
118,Cabo San Lucas,MX,22.8909,-109.9124,76.14,75,7,6.71,clear sky
119,Ilulissat,GL,69.2167,-51.1,33.82,86,90,21.85,light rain
120,Mitu,CO,1.1983,-70.1733,83.46,72,98,3.15,overcast clouds
121,San Quintin,MX,30.4833,-115.95,60.85,85,48,3.47,scattered clouds
122,Hilo,US,19.7297,-155.09,80.28,72,1,6.91,clear sky
123,Skjervoy,NO,70.0311,20.9714,39.38,75,50,23.64,scattered clouds
124,Bac Lieu,VN,9.285,105.7244,80.49,82,99,10.4,overcast clouds
125,Provideniya,RU,64.3833,-173.3,13.08,80,90,7.96,overcast clouds
126,Baiyin,CN,36.5583,104.2081,46.35,42,23,4.16,few clouds
127,Sabang,ID,5.8933,95.3214,81.19,76,92,1.12,light rain
128,Coihaique,CL,-45.5752,-72.0662,58.95,33,0,14.97,clear sky
129,Camacupa,AO,-12.0167,17.4833,79.86,48,90,5.82,overcast clouds
130,West Bay,KY,19.3667,-81.4167,84.27,71,75,1.01,broken clouds
131,Novoagansk,RU,61.9449,76.6625,6.71,94,95,9.26,overcast clouds
132,Beyneu,KZ,45.3167,55.2,53.37,56,0,5.59,clear sky
