City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Vaini,TO,2021-10-29 03:27:57,-21.2,-175.2,78.96,89,75,10.36
107,Buraydah,SA,2021-10-29 03:27:58,26.326,43.975,64.85,21,17,10.02
108,Port Elizabeth,ZA,2021-10-29 03:27:59,-33.918,25.5701,64.69,94,0,10.36
109,Uporovo,RU,2021-10-29 03:27:59,56.3109,66.2693,36.54,92,100,16.64
110,Pisco,PE,2021-10-29 03:28:00,-13.7,-76.2167,61.02,88,0,13.8
111,Itarema,BR,2021-10-29 03:28:00,-2.9248,-39.9167,79.43,79,47,14.34
112,Kieta,PG,2021-10-29 03:28:01,-6.2167,155.6333,86.05,62,65,4.09
113,Namibe,AO,2021-10-29 03:28:01,-15.1961,12.1522,65.53,77,63,5.46
114,Dharan,NP,2021-10-29 03:28:01,26.8125,87.2835,74.48,60,0,2.68
115,Otradnoye,RU,2021-10-29 03:28:02,59.7775,30.8181,54.03,93,100,11.32
116,Victoria,HK,2021-10-29 03:26:38,22.2855,114.1577,82.36,72,39,3.0
117,San Cristobal,VE,2021-10-29 03:28:02,7.7669,-72.225,73.58,98,97,2.95
118,Placer,US,2021-10-29 03:28:03,39.0666,-120.7677,57.29,86,0,6.46
119,Tawang,IN,2021-10-29 03:28:03,27.5833,91.8667,53.46,42,3,4.41
120,Tambopata,PE,2021-10-29 03:28:04,-12.7333,-69.1833,71.31,96,87,0.58
121,Caravelas,BR,2021-10-29 03:25:12,-17.7125,-39.2481,72.93,77,4,5.32
122,Marienburg,PL,2021-10-29 03:28:04,54.0359,19.0266,51.06,80,11,10.85
123,Bluff,NZ,2021-10-29 03:28:05,-46.6,168.3333,59.85,74,27,5.26
124,Chokurdakh,RU,2021-10-29 03:28:05,70.6333,147.9167,-2.09,91,100,3.89
125,Nevsehir,TR,2021-10-29 03:28:06,38.9167,34.6667,34.81,81,75,0.0
126,Longyearbyen,SJ,2021-10-29 03:28:06,78.2186,15.6401,19.24,79,75,4.61
127,Auki,SB,2021-10-29 03:28:06,-8.7676,160.7034,86.38,66,58,3.04
128,Heinola,FI,2021-10-29 03:28:07,61.2056,26.0381,50.09,90,100,10.29
129,Camacha,PT,2021-10-29 03:28:07,33.0833,-16.3333,67.42,78,20,10.36
130,Solwezi,ZM,2021-10-29 03:28:08,-12.1688,26.3894,66.07,60,89,6.38
131,Lubao,PH,2021-10-29 03:28:08,14.9167,120.55,91.42,61,43,16.37
132,Khorixas,NA,2021-10-29 03:28:09,-20.3667,14.9667,66.04,53,22,1.01
133,Vila Velha,BR,2021-10-29 03:24:06,-20.3297,-40.2925,75.15,83,75,6.91
134,Avarua,CK,2021-10-29 03:24:23,-21.2078,-159.775,75.25,69,75,8.05
135,Aksha,RU,2021-10-29 03:28:09,50.2814,113.2867,40.95,48,100,14.9
136,Havre-Saint-Pierre,CA,2021-10-29 03:28:10,50.2334,-63.5986,42.8,65,1,10.36
137,Tabou,CI,2021-10-29 03:28:10,4.423,-7.3528,76.95,87,100,4.56
138,Bayji,IQ,2021-10-29 03:28:11,34.9311,43.487,68.49,40,69,4.74
139,Keetmanshoop,NA,2021-10-29 03:28:11,-26.5833,18.1333,58.44,58,0,2.26
140,Grindavik,IS,2021-10-29 03:28:12,63.8424,-22.4338,43.27,81,0,18.41
141,Qaanaaq,GL,2021-10-29 03:25:14,77.484,-69.3632,15.53,79,77,7.47
142,Aykhal,RU,2021-10-29 03:28:12,66.0,111.5,2.61,96,100,12.21
143,Yellowknife,CA,2021-10-29 03:28:13,62.456,-114.3525,32.41,100,75,1.01
